----[BEISTRICH GETRENNTE CSV!]
----Code, Parent Key Columns, Child Key Columns 
RNP_AKT,AKTIONSSTAMMNR_RABATT; AKT_FIRMENNR_RABATT,AKTIONSSTAMMNR; FIRMENNR
FAZ_ALE,FIRMENNR; ADRLISTENNR; ADRLISTENLFDNR,FIRMENNR; ADRLISTENNR; ADRLISTENLFDNR
UAT_ALE,ALE_ADRLISTENLFDNR; ALE_ADRLISTENNR; ALE_FIRMENNR,ADRLISTENLFDNR; ADRLISTENNR; FIRMENNR
ALG_ALG,HAUPTANLGRUPPENID,ANLGRUPPENID
ARZ_ALG,ANLGRUPPENID,ANLGRUPPENID
KOP_ALN,ALNID,ALNID
PCP_ALN,ALNID,ALNID
RGW_ALN,ALNID,ALNID
ALS_ALS,DAVON_ALLERGENNR; DAVON_FIRMENNR; DAVON_ALSMODUS,ALLERGENNR; FIRMENNR; ALSMODUS
ALZ_ALS,ALSMODUS; ALS_FIRMENNR; ALLERGENNR,ALSMODUS; FIRMENNR; ALLERGENNR
DVH_AMG,ABMELDEGRUNDNR,ABMELDEGRUNDNR
MIT_AMG,ABMELDEGRUNDNR,ABMELDEGRUNDNR
PVF_AMG,ABMELDEGRUNDNR,ABMELDEGRUNDNR
AMD_AMO,FIRMENNR; KORENR; AUSWMODELLNR,FIRMENNR; KORENR; AUSWMODELLNR
ADR_ANR,PERSOENLICH_ANREDENR,ANREDENR
ADR_ANR,ANREDENR,ANREDENR
INS_ANR,ANREDENR,ANREDENR
PVF_ANR,ANREDENR,ANREDENR
ADR_ANR,GESCHAEFTLICH_ANREDENR,ANREDENR
ADR_ANR,EHEPAAR_ANREDENR,ANREDENR
ADR_ANR,EHEPAAR_PERS_ANREDENR,ANREDENR
ALG_ANS,ANLSCHEMAID,ANLSCHEMAID
ARZ_ANS,ANLSCHEMAID,ANLSCHEMAID
AWD_ANT,ANTWORTID,ANTWORTID
FGE_ANT,ANTWORTID,ANTWORTID
AGL_APA,AP_ID,AP_ID
ALK_APA,AP_ID,AP_ID
APA_APA,AP_PARENT_ID,AP_ID
PBA_APA,AP_ID,AP_ID
PCK_APA,AP_ID,AP_ID
PLC_APA,AP_ID,AP_ID
AGL_APA,AP_PARENT_ID,AP_ID
PCK_APA,AP_CHILD_ID,AP_ID
AAP_APG,APG_FIRMENNR; APG_PRODGRPNR,FIRMENNR; PRODUKTGRPNR
APZ_APG,PRODUKTGRPNR; FIRMENNR,PRODUKTGRPNR; FIRMENNR
AQB_APG,APG_FIRMENNR; APG_PRODUKTGRPNR,FIRMENNR; PRODUKTGRPNR
WAD_APG,APG_FIRMENNR; APG_PRODUKTGRPNR,FIRMENNR; PRODUKTGRPNR
WAF_APG,APG_FIRMENNR; APG_PRODUKTGRPNR,FIRMENNR; PRODUKTGRPNR
AGS_APS,APSTAMM_ID,APSTAMM_ID
AGZ_APS,APSTAMM_ID,APSTAMM_ID
AIV_APS,APS_APSTAMM_ID,APSTAMM_ID
APL_APS,APSTAMM_ID,APSTAMM_ID
APS_APS,APSTAMM_PARENT_ID,APSTAMM_ID
ARO_APS,APSTAMM_ID,APSTAMM_ID
SLK_APS,APSTAMM_ID,APSTAMM_ID
AGS_APS,APSTAMM_CHILD_ID,APSTAMM_ID
AGZ_APS,AP_PARENT_ID,APSTAMM_ID
APS_APS,APS_VORLAGE_AP_ID,APSTAMM_ID
ARM_ARG,FIRMENNR; ARGNR,FIRMENNR; ARGNR
ARP_ARG,ARGNR; FIRMENNR,ARGNR; FIRMENNR
MIT_ARG,ARG_FIRMENNR; ARGNR,FIRMENNR; ARGNR
PSW_ARG,ARGNR; ARG_FIRMENNR,ARGNR; FIRMENNR
RAG_ARG,ARGNR; FIRMENNR,ARGNR; FIRMENNR
RZG_ARG,FIRMENNR; ARGNR,FIRMENNR; ARGNR
ARL_ARK,FIRMENNR; ARTIKELKLASSE,FIRMENNR; ARTIKELKLASSE
AAP_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
AAR_ARL,ARL_ARTIKELNR_HAUPT; ARL_FIRMENNR_HAUPT,ARTIKELNR; FIRMENNR
ACS_ARL,ARL_FIRMENNR; ARL_ARTIKELNR,FIRMENNR; ARTIKELNR
ADZ_ARL,ARL_ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
AKL_ARL,HAUPTFIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
AKZ_ARL,ARL_ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
ALZ_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
ANO_ARL,ARL_ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
AOZ_ARL,ARL_FIRMENNR; ARL_ARTIKELNR,FIRMENNR; ARTIKELNR
ARB_ARL,FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
ARL_ARL,FIRMENNR; FOLGE_ARTIKELNR,FIRMENNR; ARTIKELNR
AST_ARL,ARTIKELNR; HAUPT_FIRMENNR,ARTIKELNR; FIRMENNR
AVE_ARL,ARL_FIRMENNR; ARL_ARTIKELNR,FIRMENNR; ARTIKELNR
AZU_ARL,ARTIKELNR; FIRMENNR,ARTIKELNR; FIRMENNR
BOP_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
BPB_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
BPP_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
BSD_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
BTR_ARL,ARL_FIRMENNR; ARL_ARTIKELNR,FIRMENNR; ARTIKELNR
BVO_ARL,ARTIKELNR; HAUPTFIRMENNR,ARTIKELNR; FIRMENNR
CHG_ARL,VALID_ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
CSA_ARL,ARL_FIRMENNR; ARL_ARTIKELNR,FIRMENNR; ARTIKELNR
CSI_ARL,ARL_ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
DIS_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
EAN_ARL,FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
EAR_ARL,FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
EDV_ARL,HAUPTFIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
EEP_ARL,ARL_ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
EHP_ARL,FIRMENNR; FOLGE_ARTIKELNR,FIRMENNR; ARTIKELNR
EHT_ARL,ARL_ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
EKK_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
ELV_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
EPS_ARL,ARL_FIRMENNR; ARL_ARTIKELNR,FIRMENNR; ARTIKELNR
EPV_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
ERD_ARL,HAUPTFIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
ERP_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
ESD_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
GSF_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
GSK_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
GZU_ARL,ARL_FIRMENNR; ARL_ARTIKELNR,FIRMENNR; ARTIKELNR
HAZ_ARL,ARL_ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
HBT_ARL,FIRMENNR_PRODUKT; ARTIKELNR_PRODUKT,FIRMENNR; ARTIKELNR
IAP_ARL,ARTIKELNR; FIRMENNR,ARTIKELNR; FIRMENNR
IVK_ARL,FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
IVP_ARL,ARTIKELNR; FIRMENNR,ARTIKELNR; FIRMENNR
KAI_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
KAP_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
KAR_ARL,ARL_ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
KMA_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
KUK_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
LAD_ARL,ARL_FIRMENNR; ARL_ARTIKELNR,FIRMENNR; ARTIKELNR
LAJ_ARL,ARTIKELNR; ARTIKELFIRMENNR,ARTIKELNR; FIRMENNR
LAT_ARL,ARL_ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
LKO_ARL,ARTIKELIDFIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
LMB_ARL,ARL_ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
LPO_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
MDG_ARL,ARL_ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
MDZ_ARL,ARL_FIRMENNR; ARL_ARTIKELNR,FIRMENNR; ARTIKELNR
PAC_ARL,ARA_ARTIKELNR; FIRMENNR,ARTIKELNR; FIRMENNR
PIA_ARL,ARL_FIRMENNR; ARL_ARTIKELNR,FIRMENNR; ARTIKELNR
PIZ_ARL,ARL_ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
PJO_ARL,ARL_FIRMENNR; ARL_ARTIKELNR,FIRMENNR; ARTIKELNR
PRP_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
PTP_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
PWA_ARL,FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
RAD_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
RAP_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
RAT_ARL,ARTIKELNR; ARL_FIRMENNR,ARTIKELNR; FIRMENNR
RNP_ARL,ARL_FIRMENNR; ARTIKELNR,FIRMENNR; ARTIKELNR
