MKO_MINDKOESTJAHR (PK);MKO_MINDKOESTJAHR
MKO_MINDKOESTMODELL (PK);MKO_MINDKOESTMODELL
MKO_MINDKOESTERKLJAHR (PK);MKO_MINDKOESTERKLJAHR
MWK_MWRKOPFID (PK);MWK_MWRKOPFID
MWR_MWRKOPFID (PK);MWR_MWRKOPFID
MWR_MWRID (PK);MWR_MWRID
NEB_FIRMENNR (PK);NEB_FIRMENNR
NEB_PERSONENID (PK);NEB_PERSONENID
NEB_STEUERWERTJAHR (PK);NEB_STEUERWERTJAHR
NEB_MODELL (PK);NEB_MODELL
NEB_ERKLNR (PK);NEB_ERKLNR
NEB_ERKLUNTERNR (PK);NEB_ERKLUNTERNR
NEB_STEUERWERTLFDNR (PK);NEB_STEUERWERTLFDNR
NEB_NEBLFDNR (PK);NEB_NEBLFDNR
NEB_NEBART (PK);NEB_NEBART
NEG_FIRMENNR (PK);NEG_FIRMENNR
NEG_NEGEW_JAHR (PK);NEG_NEGEW_JAHR
NEG_PERSONENID (PK);NEG_PERSONENID
NEG_STEUER_ERKLZUNR (PK);NEG_STEUER_ERKLZUNR
NFZ_FIRMENNR (PK);NFZ_FIRMENNR
NFZ_ANBUNR (PK);NFZ_ANBUNR
NFZ_FWF_FIRMENNR (PK);NFZ_FWF_FIRMENNR
NFZ_FWF_FIBUNR (PK);NFZ_FWF_FIBUNR
NVS_PER_FIRMENNR (PK);NVS_PER_FIRMENNR
NVS_PERSONENID (PK);NVS_PERSONENID
NVS_ERKLJAHR (PK);NVS_ERKLJAHR
NVS_NVSMODELL (PK);NVS_NVSMODELL
NVS_NVSJAHR (PK);NVS_NVSJAHR
PAK_PAKLFDNR (PK);PAK_PAKLFDNR
PBD_PDSID (PK);PBD_PDSID
PBD_PBDLFDNR (PK);PBD_PBDLFDNR
PBD_PBDRSTKZ (PK);PBD_PBDRSTKZ
PBO_FIRMENNR (PK);PBO_FIRMENNR
PBO_FIBUNR (PK);PBO_FIBUNR
PBO_RSTART (PK);PBO_RSTART
PBO_RSTBUART (PK);PBO_RSTBUART
PBO_BETRAG_KZ (PK);PBO_BETRAG_KZ
PBO_BILANZ_KZ (PK);PBO_BILANZ_KZ
PBO_ANGARB_KZ (PK);PBO_ANGARB_KZ
PDS_PDSID (PK);PDS_PDSID
PDZ_PDSID (PK);PDZ_PDSID
PDZ_PDZLFDNR (PK);PDZ_PDZLFDNR
PGS_PDSID (PK);PGS_PDSID
PGS_ZA_ART (PK);PGS_ZA_ART
PIX_FIRMENNR (PK);PIX_FIRMENNR
PIX_PKHMODELL (PK);PIX_PKHMODELL
PIX_PKHSTICHTAG (PK);PIX_PKHSTICHTAG
PIX_FELDNAME (PK);PIX_FELDNAME
PIX_IMPORTKZ (PK);PIX_IMPORTKZ
PKB_FIRMENNR (PK);PKB_FIRMENNR
PKB_MODELL (PK);PKB_MODELL
PKB_STICHTAG (PK);PKB_STICHTAG
PKB_RSTKZ (PK);PKB_RSTKZ
PKB_FIBUFIRMENNR (PK);PKB_FIBUFIRMENNR
PKB_FIBUNR (PK);PKB_FIBUNR
PKB_BELEGID (PK);PKB_BELEGID
PKH_FIRMENNR (PK);PKH_FIRMENNR
PKH_PKHMODELL (PK);PKH_PKHMODELL
PKH_PKHSTICHTAG (PK);PKH_PKHSTICHTAG
PKK_PKKSEQID (PK);PKK_PKKSEQID
PKR_FIRMENNR (PK);PKR_FIRMENNR
PKR_PKRSTICHTAG (PK);PKR_PKRSTICHTAG
PKR_PKRMODELL (PK);PKR_PKRMODELL
PKR_PKRRSTKZ (PK);PKR_PKRRSTKZ
PKW_PKKSEQID (PK);PKW_PKKSEQID
PKW_PKWPARAMKZ (PK);PKW_PKWPARAMKZ
PKW_GUELTIG_AB (PK);PKW_GUELTIG_AB
PKY_FIRMENNR (PK);PKY_FIRMENNR
PKY_MODELL (PK);PKY_MODELL
PKY_STICHTAG (PK);PKY_STICHTAG
PKY_PKKID (PK);PKY_PKKID
PSE_PSKLFDNR (PK);PSE_PSKLFDNR
PSE_ALTER (PK);PSE_ALTER
PSK_PSKLFDNR (PK);PSK_PSKLFDNR
PWT_PAKLFDNR (PK);PWT_PAKLFDNR
PWT_JAHRGANG (PK);PWT_JAHRGANG
RDD_RDDID (PK);RDD_RDDID
RDM_RDMNR (PK);RDM_RDMNR
RSP_RSPID (PK);RSP_RSPID
SEB_SEBID (PK);SEB_SEBID
SES_ERKLNR (PK);SES_ERKLNR
SES_JAHR (PK);SES_JAHR
SKE_STEUER_ERKLZUNR (PK);SKE_STEUER_ERKLZUNR
