---manuelle Felder:


---Felder von SQL Datenbank
Code,Comment,Description,Datentyp
ABG_MONAT,,,N2
ABG_ORG_BETRAG,,,numeric (24. 9)
ABG_ORG_MENGE,,,numeric (24. 9)
ABG_ORG_SATZ,,,numeric (24. 9)
ABG_ORG_TAGE,,,numeric (24. 9)
ABG_ORG_ZUSATZ_BETRAG,,,numeric (24. 9)
ABG_PSMISTORG,,,N1
ABH_DIRECT,,,int (10. 0)
ABJ_ABGANGSART,,,N2
ABJ_ABGANGSERLOES,,,numeric (24. 9)
ABJ_AENDERUNGSDATUM,,,DATE
ABJ_ANBUBUCHKZ,,,N2
ABJ_BELEG,,,A20
ABJ_BELEGDATUM,,,DATE
ABJ_BETRAG,,,numeric (24. 9)
ABJ_BETRAGBW,,,numeric (24. 9)
ABJ_BEWRESID,,,N15
ABJ_BRBUCHART,,,N2
ABJ_BRBUCHPERIODE,,,N2
ABJ_BRJOURNALDATUM,,,DATE
ABJ_BRJOURNALID,,,bigint (19. 0)
ABJ_BRJOURNALLFD,,,N9
ABJ_BUCHDATUM,,,DATE
ABJ_BUCHUNGSGRUPPENID,,,N15
ABJ_BUCHUNGSTEXT,,,A100
ABJ_CLUSTER_ANBUNR,,,N2
ABJ_CLUSTER_FIRMENNR,,,N10
ABJ_ERSTELLDATUM,,,DATE
ABJ_ERSTELLUSER,,,A10
ABJ_IABID,,,SEQID
ABJ_ISTBERECHRELEVANT,,,N1
ABJ_ISTGESPERRT,,,N1
ABJ_LAUFZEIT,,,numeric (24. 9)
ABJ_LETZTERUSER,,,A10
ABJ_UMBUCH_BEWRESID,,,N15
ABJ_UMBUCH_BRJOURNALID,,,bigint (19. 0)
ABJ_UMG_PROZENT,,,numeric (6. 2)
ABJ_VERBRAUCHPROZ,,,numeric (6. 2)
ABK_ABKOPFLFDNR,,,N9
ABK_ABKOPFNAME,,,A50
ABK_AENDERUNGSDATUM,,,DATE
ABK_ERSTELLDATUM,,,DATE
ABK_ERSTELLUSER,,,A10
ABK_FIRMENNR,,,N10
ABK_LETZTERUSER,,,A10
ABK_MATCHCODE,,,A30
ABL_ABLID,,,bigint (19. 0)
ABL_AENDERUNGSDATUM,,,DATE
ABL_BUDGETNR,,,N4
ABL_BUDGETSOLL,,,numeric (24. 9)
ABL_EDIT_DOG,,,A10
ABL_ERSTELLDATUM,,,DATE
ABL_ERSTELLUSER,,,A10
ABL_FIRMENNR,,,N10
ABL_KNOTENBEZ,,,A50
ABL_KORENR,,,N6
ABL_KST_KNOTENREFNR,,,N6
ABL_KST_KOSTENSTAMMNR,,,A20
ABL_KST_KOSTENTYP,,,N1
ABL_LETZTERUSER,,,A10
ABL_PARENT,,,bigint (19. 0)
ABL_SHOW_DOG,,,A10
